Net generation from natural gas for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.NG.H
16:52:15 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.NG.H megawatthours
03/24/2022 02H,155798
03/24/2022 01H,150471
03/24/2022 00H,146449
03/23/2022 23H,140846
03/23/2022 22H,136324
03/23/2022 21H,133821
03/23/2022 20H,131561
03/23/2022 19H,130498
03/23/2022 18H,130669
03/23/2022 17H,130895
03/23/2022 16H,131473
03/23/2022 15H,136488
03/23/2022 14H,142047
03/23/2022 13H,142555
03/23/2022 12H,139381
03/23/2022 11H,128697
03/23/2022 10H,117019
03/23/2022 09H,108231
03/23/2022 08H,104833
03/23/2022 07H,106869
03/23/2022 06H,111255
03/23/2022 05H,116394
03/23/2022 04H,122850
03/23/2022 03H,136207
03/23/2022 02H,143032
03/23/2022 01H,144577
03/23/2022 00H,141125
03/22/2022 23H,136341
03/22/2022 22H,130033
03/22/2022 21H,123914
03/22/2022 20H,119795
03/22/2022 19H,119019
03/22/2022 18H,116456
03/22/2022 17H,115651
03/22/2022 16H,117704
03/22/2022 15H,122463
03/22/2022 14H,125675
03/22/2022 13H,130209
03/22/2022 12H,128348
03/22/2022 11H,120131
03/22/2022 10H,108489
03/22/2022 09H,99891
03/22/2022 08H,100560
03/22/2022 07H,101232
03/22/2022 06H,105380
03/22/2022 05H,111137
03/22/2022 04H,121131
03/22/2022 03H,131111
03/22/2022 02H,139080
03/22/2022 01H,141217
03/22/2022 00H,139208
03/21/2022 23H,131850
03/21/2022 22H,125092
03/21/2022 21H,117544
03/21/2022 20H,114790
03/21/2022 19H,112911
03/21/2022 18H,113768
03/21/2022 17H,113890
03/21/2022 16H,115711
03/21/2022 15H,122514
03/21/2022 14H,127459
03/21/2022 13H,130780
03/21/2022 12H,131997
03/21/2022 11H,123778
03/21/2022 10H,108629
03/21/2022 09H,100116
03/21/2022 08H,93673
03/21/2022 07H,93932
03/21/2022 06H,96783
03/21/2022 05H,98029
03/21/2022 04H,104459
03/21/2022 03H,115792
03/21/2022 02H,122695
03/21/2022 01H,122259
03/21/2022 00H,118430
03/20/2022 23H,110550
03/20/2022 22H,104668
03/20/2022 21H,99352
03/20/2022 20H,95634
03/20/2022 19H,95725
03/20/2022 18H,96742
03/20/2022 17H,96474
03/20/2022 16H,98296
03/20/2022 15H,103491
03/20/2022 14H,108026
03/20/2022 13H,108961
03/20/2022 12H,107419
03/20/2022 11H,102808
03/20/2022 10H,98851
03/20/2022 09H,97787
03/20/2022 08H,98290
03/20/2022 07H,100135
03/20/2022 06H,104511
03/20/2022 05H,112925
03/20/2022 04H,121322
03/20/2022 03H,135142
03/20/2022 02H,146157
03/20/2022 01H,148307
03/20/2022 00H,139867
03/19/2022 23H,132137
03/19/2022 22H,126277
03/19/2022 21H,123086
03/19/2022 20H,120606
03/19/2022 19H,123070
03/19/2022 18H,123659
03/19/2022 17H,124357
03/19/2022 16H,128213
03/19/2022 15H,130852
03/19/2022 14H,130713
03/19/2022 13H,125916
03/19/2022 12H,119773
03/19/2022 11H,115331
03/19/2022 10H,109439
03/19/2022 09H,109447
03/19/2022 08H,112792
03/19/2022 07H,117081
03/19/2022 06H,124660
03/19/2022 05H,132883
03/19/2022 04H,144563
03/19/2022 03H,153029
03/19/2022 02H,159378
03/19/2022 01H,156662
03/19/2022 00H,146867
03/18/2022 23H,139979
03/18/2022 22H,135141
03/18/2022 21H,132092
03/18/2022 20H,124592
03/18/2022 19H,122061
03/18/2022 18H,120303
03/18/2022 17H,118636
03/18/2022 16H,120020
03/18/2022 15H,123852
03/18/2022 14H,126358
03/18/2022 13H,125450
03/18/2022 12H,121782
03/18/2022 11H,113952
03/18/2022 10H,105297
03/18/2022 09H,97658
03/18/2022 08H,96510
03/18/2022 07H,97793
03/18/2022 06H,104911
03/18/2022 05H,109919
03/18/2022 04H,120154
03/18/2022 03H,130170
03/18/2022 02H,138525
03/18/2022 01H,139558
03/18/2022 00H,137204
03/17/2022 23H,132049
03/17/2022 22H,128972
03/17/2022 21H,124700
03/17/2022 20H,124511
03/17/2022 19H,125533
03/17/2022 18H,125359
03/17/2022 17H,128391
03/17/2022 16H,127648
03/17/2022 15H,132461
03/17/2022 14H,136618
03/17/2022 13H,134986
03/17/2022 12H,130424
03/17/2022 11H,120914
03/17/2022 10H,107559
03/17/2022 09H,100578
03/17/2022 08H,98163
03/17/2022 07H,97974
03/17/2022 06H,102545
03/17/2022 05H,107960
03/17/2022 04H,119130
03/17/2022 03H,129499
03/17/2022 02H,139492
03/17/2022 01H,142268
03/17/2022 00H,140121
03/16/2022 23H,131741
03/16/2022 22H,126239
03/16/2022 21H,125321
03/16/2022 20H,118711
03/16/2022 19H,119784
03/16/2022 18H,118258
03/16/2022 17H,120731
03/16/2022 16H,126258
03/16/2022 15H,133663
03/16/2022 14H,137232
03/16/2022 13H,136569
03/16/2022 12H,133950
03/16/2022 11H,126074
03/16/2022 10H,114307
03/16/2022 09H,108398
03/16/2022 08H,106489
03/16/2022 07H,107361
03/16/2022 06H,113949
03/16/2022 05H,122330
03/16/2022 04H,128844
03/16/2022 03H,143543
03/16/2022 02H,154324
03/16/2022 01H,157977
03/16/2022 00H,152774
03/15/2022 23H,145220
03/15/2022 22H,141091
03/15/2022 21H,136632
03/15/2022 20H,135002
03/15/2022 19H,133316
03/15/2022 18H,134686
03/15/2022 17H,135785
03/15/2022 16H,139253
03/15/2022 15H,144592
03/15/2022 14H,149449
03/15/2022 13H,150179
03/15/2022 12H,150362
03/15/2022 11H,141450
03/15/2022 10H,127857
03/15/2022 09H,118708
03/15/2022 08H,113325
03/15/2022 07H,112938
03/15/2022 06H,116356
03/15/2022 05H,120839
03/15/2022 04H,129047
03/15/2022 03H,132935
03/15/2022 02H,140388
03/15/2022 01H,138663
03/15/2022 00H,136131
03/14/2022 23H,126000
03/14/2022 22H,116757
03/14/2022 21H,111135
03/14/2022 20H,108451
03/14/2022 19H,110143
03/14/2022 18H,114389
03/14/2022 17H,119097
03/14/2022 16H,125912
03/14/2022 15H,138941
03/14/2022 14H,150936
03/14/2022 13H,157865
03/14/2022 12H,158043
03/14/2022 11H,150435
03/14/2022 10H,133725
03/14/2022 09H,123026
03/14/2022 08H,118283
03/14/2022 07H,116090
03/14/2022 06H,116518
03/14/2022 05H,117898
03/14/2022 04H,135178
03/14/2022 03H,143073
03/14/2022 02H,147542
03/14/2022 01H,145573
03/14/2022 00H,137649
03/13/2022 23H,125947
03/13/2022 22H,116694
03/13/2022 21H,113580
03/13/2022 20H,114303
03/13/2022 19H,118017
03/13/2022 18H,122819
03/13/2022 17H,129572
03/13/2022 16H,138606
03/13/2022 15H,151612
03/13/2022 14H,157642
03/13/2022 13H,158238
03/13/2022 12H,150530
03/13/2022 11H,143646
03/13/2022 10H,137756
03/13/2022 09H,135068
03/13/2022 08H,136803
03/13/2022 07H,145705
03/13/2022 06H,149238
03/13/2022 05H,142287
03/13/2022 04H,157833
03/13/2022 03H,162510
03/13/2022 02H,175715
03/13/2022 01H,165105
03/13/2022 00H,156491
03/12/2022 23H,146009
03/12/2022 22H,138769
03/12/2022 21H,140649
03/12/2022 20H,144747
03/12/2022 19H,150101
03/12/2022 18H,155447
03/12/2022 17H,161160
03/12/2022 16H,165808
03/12/2022 15H,172413
03/12/2022 14H,175494
03/12/2022 13H,169510
03/12/2022 12H,162199
03/12/2022 11H,156481
03/12/2022 10H,151403
03/12/2022 09H,150524
03/12/2022 08H,152451
03/12/2022 07H,152742
03/12/2022 06H,157272
03/12/2022 05H,160284
03/12/2022 04H,169693
03/12/2022 03H,176854
03/12/2022 02H,178993
03/12/2022 01H,173318
03/12/2022 00H,159364
03/11/2022 23H,153793
03/11/2022 22H,146229
03/11/2022 21H,142810
03/11/2022 20H,143136
03/11/2022 19H,144896
03/11/2022 18H,147624
03/11/2022 17H,148845
03/11/2022 16H,152458
03/11/2022 15H,158924
03/11/2022 14H,161684
03/11/2022 13H,159802
03/11/2022 12H,153170
03/11/2022 11H,143499
03/11/2022 10H,137453
03/11/2022 09H,131866
03/11/2022 08H,132500
03/11/2022 07H,133685
03/11/2022 06H,137216
03/11/2022 05H,147026
03/11/2022 04H,156470
03/11/2022 03H,164753
03/11/2022 02H,169331
03/11/2022 01H,166201
03/11/2022 00H,159624
03/10/2022 23H,152266
03/10/2022 22H,142023
03/10/2022 21H,145533
03/10/2022 20H,147633
03/10/2022 19H,149114
03/10/2022 18H,152546
03/10/2022 17H,156446
03/10/2022 16H,164959
03/10/2022 15H,173857
03/10/2022 14H,180942
03/10/2022 13H,177354
03/10/2022 12H,168013
03/10/2022 11H,154222
03/10/2022 10H,146612
03/10/2022 09H,142421
03/10/2022 08H,141480
03/10/2022 07H,143989
03/10/2022 06H,147638
03/10/2022 05H,156007
03/10/2022 04H,165168
03/10/2022 03H,172515
03/10/2022 02H,179115
03/10/2022 01H,176674
03/10/2022 00H,166907
03/9/2022 23H,161372
03/9/2022 22H,157384
03/9/2022 21H,158109
03/9/2022 20H,159885
03/9/2022 19H,163189
03/9/2022 18H,167422
03/9/2022 17H,171623
03/9/2022 16H,178782
03/9/2022 15H,189046
03/9/2022 14H,195544
03/9/2022 13H,190669
03/9/2022 12H,178267
03/9/2022 11H,163281
03/9/2022 10H,153932
03/9/2022 09H,152813
03/9/2022 08H,152545
03/9/2022 07H,156272
03/9/2022 06H,162928
03/9/2022 05H,165419
03/9/2022 04H,184355
03/9/2022 03H,195850
03/9/2022 02H,201574
03/9/2022 01H,196754
03/9/2022 00H,177405
03/8/2022 23H,173938
03/8/2022 22H,166811
03/8/2022 21H,163074
03/8/2022 20H,162380
03/8/2022 19H,161585
03/8/2022 18H,163262
03/8/2022 17H,166409
03/8/2022 16H,172629
03/8/2022 15H,180057
03/8/2022 14H,182174
03/8/2022 13H,178966
03/8/2022 12H,164336
03/8/2022 11H,150927
03/8/2022 10H,141350
03/8/2022 09H,138248
03/8/2022 08H,138018
03/8/2022 07H,138951
03/8/2022 06H,143857
03/8/2022 05H,148117
