Net generation from hydro for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WAT.H
16:50:53 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WAT.H megawatthours
03/30/2022 04H,34322
03/30/2022 03H,36794
03/30/2022 02H,39204
03/30/2022 01H,40510
03/30/2022 00H,38310
03/29/2022 23H,34872
03/29/2022 22H,31786
03/29/2022 21H,30143
03/29/2022 20H,30229
03/29/2022 19H,30256
03/29/2022 18H,31301
03/29/2022 17H,33244
03/29/2022 16H,35865
03/29/2022 15H,38257
03/29/2022 14H,42258
03/29/2022 13H,42123
03/29/2022 12H,42369
03/29/2022 11H,37260
03/29/2022 10H,32116
03/29/2022 09H,28042
03/29/2022 08H,26480
03/29/2022 07H,26901
03/29/2022 06H,29377
03/29/2022 05H,31473
03/29/2022 04H,34706
03/29/2022 03H,38188
03/29/2022 02H,40966
03/29/2022 01H,44832
03/29/2022 00H,41930
03/28/2022 23H,38453
03/28/2022 22H,33319
03/28/2022 21H,32637
03/28/2022 20H,32289
03/28/2022 19H,31537
03/28/2022 18H,32332
03/28/2022 17H,33991
03/28/2022 16H,38061
03/28/2022 15H,41216
03/28/2022 14H,43039
03/28/2022 13H,44039
03/28/2022 12H,42473
03/28/2022 11H,37676
03/28/2022 10H,31921
03/28/2022 09H,27870
03/28/2022 08H,25537
03/28/2022 07H,26254
03/28/2022 06H,28373
03/28/2022 05H,30158
03/28/2022 04H,32187
03/28/2022 03H,35411
03/28/2022 02H,38855
03/28/2022 01H,40226
03/28/2022 00H,35969
03/27/2022 23H,31773
03/27/2022 22H,27900
03/27/2022 21H,27118
03/27/2022 20H,26509
03/27/2022 19H,27375
03/27/2022 18H,28459
03/27/2022 17H,29447
03/27/2022 16H,30539
03/27/2022 15H,32004
03/27/2022 14H,32758
03/27/2022 13H,31603
03/27/2022 12H,30463
03/27/2022 11H,27012
03/27/2022 10H,25577
03/27/2022 09H,24934
03/27/2022 08H,25342
03/27/2022 07H,26257
03/27/2022 06H,27692
03/27/2022 05H,29943
03/27/2022 04H,31836
03/27/2022 03H,35766
03/27/2022 02H,38140
03/27/2022 01H,38676
03/27/2022 00H,36164
03/26/2022 23H,32625
03/26/2022 22H,28997
03/26/2022 21H,27968
03/26/2022 20H,27960
03/26/2022 19H,28349
03/26/2022 18H,29882
03/26/2022 17H,30895
03/26/2022 16H,32167
03/26/2022 15H,33880
03/26/2022 14H,35270
03/26/2022 13H,33725
03/26/2022 12H,31654
03/26/2022 11H,28751
03/26/2022 10H,27965
03/26/2022 09H,27283
03/26/2022 08H,27331
03/26/2022 07H,29333
03/26/2022 06H,30992
03/26/2022 05H,32801
03/26/2022 04H,35560
03/26/2022 03H,40027
03/26/2022 02H,41245
03/26/2022 01H,41672
03/26/2022 00H,38761
03/25/2022 23H,35044
03/25/2022 22H,32289
03/25/2022 21H,31149
03/25/2022 20H,30917
03/25/2022 19H,30754
03/25/2022 18H,31526
03/25/2022 17H,33477
03/25/2022 16H,35724
03/25/2022 15H,39392
03/25/2022 14H,42167
03/25/2022 13H,43476
03/25/2022 12H,41914
03/25/2022 11H,36030
03/25/2022 10H,31645
03/25/2022 09H,28084
03/25/2022 08H,27324
03/25/2022 07H,27490
03/25/2022 06H,30204
03/25/2022 05H,34024
03/25/2022 04H,37950
03/25/2022 03H,42093
03/25/2022 02H,44341
03/25/2022 01H,43840
03/25/2022 00H,40168
03/24/2022 23H,36166
03/24/2022 22H,32004
03/24/2022 21H,31190
03/24/2022 20H,30559
03/24/2022 19H,30567
03/24/2022 18H,31678
03/24/2022 17H,33381
03/24/2022 16H,35543
03/24/2022 15H,39259
03/24/2022 14H,41846
03/24/2022 13H,39560
03/24/2022 12H,35653
03/24/2022 11H,29584
03/24/2022 10H,25233
03/24/2022 09H,23430
03/24/2022 08H,22668
03/24/2022 07H,24739
03/24/2022 06H,26970
03/24/2022 05H,28872
03/24/2022 04H,31860
03/24/2022 03H,36589
03/24/2022 02H,40370
03/24/2022 01H,42545
03/24/2022 00H,39497
03/23/2022 23H,36527
03/23/2022 22H,33618
03/23/2022 21H,34064
03/23/2022 20H,34085
03/23/2022 19H,33951
03/23/2022 18H,34775
03/23/2022 17H,35846
03/23/2022 16H,36736
03/23/2022 15H,39422
03/23/2022 14H,40917
03/23/2022 13H,38719
03/23/2022 12H,35914
03/23/2022 11H,31852
03/23/2022 10H,26084
03/23/2022 09H,23769
03/23/2022 08H,23696
03/23/2022 07H,25321
03/23/2022 06H,27650
03/23/2022 05H,31302
03/23/2022 04H,34603
03/23/2022 03H,40061
03/23/2022 02H,41865
03/23/2022 01H,42595
03/23/2022 00H,41119
03/22/2022 23H,37901
03/22/2022 22H,33341
03/22/2022 21H,31877
03/22/2022 20H,31364
03/22/2022 19H,31423
03/22/2022 18H,32095
03/22/2022 17H,33163
03/22/2022 16H,34842
03/22/2022 15H,37302
03/22/2022 14H,39952
03/22/2022 13H,39068
03/22/2022 12H,37882
03/22/2022 11H,34172
03/22/2022 10H,29287
03/22/2022 09H,25018
03/22/2022 08H,24595
03/22/2022 07H,26586
03/22/2022 06H,28971
03/22/2022 05H,33067
03/22/2022 04H,35689
03/22/2022 03H,39899
03/22/2022 02H,42628
03/22/2022 01H,43857
03/22/2022 00H,40740
03/21/2022 23H,37212
03/21/2022 22H,32455
03/21/2022 21H,31225
03/21/2022 20H,30709
03/21/2022 19H,31537
03/21/2022 18H,32582
03/21/2022 17H,33428
03/21/2022 16H,34857
03/21/2022 15H,36906
03/21/2022 14H,40598
03/21/2022 13H,42703
03/21/2022 12H,42440
03/21/2022 11H,37171
03/21/2022 10H,31641
03/21/2022 09H,26608
03/21/2022 08H,25201
03/21/2022 07H,25700
03/21/2022 06H,27555
03/21/2022 05H,30382
03/21/2022 04H,33137
03/21/2022 03H,36480
03/21/2022 02H,38110
03/21/2022 01H,37946
03/21/2022 00H,35499
03/20/2022 23H,32446
03/20/2022 22H,28897
03/20/2022 21H,27248
03/20/2022 20H,26404
03/20/2022 19H,26655
03/20/2022 18H,27304
03/20/2022 17H,29254
03/20/2022 16H,30235
03/20/2022 15H,31354
03/20/2022 14H,31991
03/20/2022 13H,31736
03/20/2022 12H,30444
03/20/2022 11H,26870
03/20/2022 10H,25255
03/20/2022 09H,24671
03/20/2022 08H,25233
03/20/2022 07H,25828
03/20/2022 06H,26556
03/20/2022 05H,28212
03/20/2022 04H,30320
03/20/2022 03H,33624
03/20/2022 02H,34370
03/20/2022 01H,35805
03/20/2022 00H,34073
03/19/2022 23H,32171
03/19/2022 22H,29454
03/19/2022 21H,28800
03/19/2022 20H,28929
03/19/2022 19H,30388
03/19/2022 18H,32595
03/19/2022 17H,35418
03/19/2022 16H,36457
03/19/2022 15H,35493
03/19/2022 14H,35446
03/19/2022 13H,32766
03/19/2022 12H,30744
03/19/2022 11H,27812
03/19/2022 10H,26912
03/19/2022 09H,26294
03/19/2022 08H,27049
03/19/2022 07H,28836
03/19/2022 06H,31529
03/19/2022 05H,34123
03/19/2022 04H,36676
03/19/2022 03H,39756
03/19/2022 02H,41109
03/19/2022 01H,39997
03/19/2022 00H,36629
03/18/2022 23H,34404
03/18/2022 22H,33081
03/18/2022 21H,32598
03/18/2022 20H,30946
03/18/2022 19H,31306
03/18/2022 18H,32871
03/18/2022 17H,34400
03/18/2022 16H,37303
03/18/2022 15H,40039
03/18/2022 14H,40808
03/18/2022 13H,40568
