Net generation from solar for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.SUN.H
17:17:50 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.SUN.H megawatthours
03/29/2022 04H,179
03/29/2022 03H,152
03/29/2022 02H,450
03/29/2022 01H,3367
03/29/2022 00H,11062
03/28/2022 23H,21167
03/28/2022 22H,31085
03/28/2022 21H,37269
03/28/2022 20H,39459
03/28/2022 19H,38822
03/28/2022 18H,37730
03/28/2022 17H,36367
03/28/2022 16H,30934
03/28/2022 15H,25977
03/28/2022 14H,16535
03/28/2022 13H,7305
03/28/2022 12H,2097
03/28/2022 11H,181
03/28/2022 10H,71
03/28/2022 09H,71
03/28/2022 08H,84
03/28/2022 07H,108
03/28/2022 06H,146
03/28/2022 05H,173
03/28/2022 04H,226
03/28/2022 03H,245
03/28/2022 02H,969
03/28/2022 01H,8282
03/28/2022 00H,22200
03/27/2022 23H,31789
03/27/2022 22H,38793
03/27/2022 21H,43330
03/27/2022 20H,45793
03/27/2022 19H,44500
03/27/2022 18H,45046
03/27/2022 17H,42513
03/27/2022 16H,39054
03/27/2022 15H,29791
03/27/2022 14H,16558
03/27/2022 13H,6912
03/27/2022 12H,1859
03/27/2022 11H,115
03/27/2022 10H,28
03/27/2022 09H,29
03/27/2022 08H,31
03/27/2022 07H,81
03/27/2022 06H,112
03/27/2022 05H,105
03/27/2022 04H,226
03/27/2022 03H,228
03/27/2022 02H,912
03/27/2022 01H,9568
03/27/2022 00H,23015
03/26/2022 23H,32995
03/26/2022 22H,39719
03/26/2022 21H,43168
03/26/2022 20H,43871
03/26/2022 19H,44405
03/26/2022 18H,44134
03/26/2022 17H,43059
03/26/2022 16H,41312
03/26/2022 15H,31762
03/26/2022 14H,16372
03/26/2022 13H,6314
03/26/2022 12H,1490
03/26/2022 11H,73
03/26/2022 10H,15
03/26/2022 09H,16
03/26/2022 08H,27
03/26/2022 07H,62
03/26/2022 06H,83
03/26/2022 05H,118
03/26/2022 04H,153
03/26/2022 03H,250
03/26/2022 02H,907
03/26/2022 01H,7637
03/26/2022 00H,21452
03/25/2022 23H,31948
03/25/2022 22H,38964
03/25/2022 21H,41829
03/25/2022 20H,43072
03/25/2022 19H,43979
03/25/2022 18H,44831
03/25/2022 17H,44843
03/25/2022 16H,41950
03/25/2022 15H,31545
03/25/2022 14H,14177
03/25/2022 13H,4250
03/25/2022 12H,509
03/25/2022 11H,18
03/25/2022 10H,20
03/25/2022 09H,13
03/25/2022 08H,17
03/25/2022 07H,59
03/25/2022 06H,99
03/25/2022 05H,148
03/25/2022 04H,120
03/25/2022 03H,221
03/25/2022 02H,1988
03/25/2022 01H,10885
03/25/2022 00H,26613
03/24/2022 23H,30757
03/24/2022 22H,31854
03/24/2022 21H,32129
03/24/2022 20H,33211
03/24/2022 19H,34161
03/24/2022 18H,35454
03/24/2022 17H,36624
03/24/2022 16H,33303
03/24/2022 15H,23305
03/24/2022 14H,7055
03/24/2022 13H,1232
03/24/2022 12H,157
03/24/2022 11H,-5
03/24/2022 10H,3
03/24/2022 09H,3
03/24/2022 08H,1
03/24/2022 07H,54
03/24/2022 06H,68
03/24/2022 05H,151
03/24/2022 04H,194
03/24/2022 03H,230
03/24/2022 02H,1307
03/24/2022 01H,11332
03/24/2022 00H,19342
03/23/2022 23H,24777
03/23/2022 22H,27447
03/23/2022 21H,29098
03/23/2022 20H,30835
03/23/2022 19H,31578
03/23/2022 18H,33463
03/23/2022 17H,34765
