Net generation from wind for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.WND.H
17:18:27 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.WND.H megawatthours
04/7/2022 19H,69375
04/7/2022 18H,70217
04/7/2022 17H,72357
04/7/2022 16H,73219
04/7/2022 15H,69136
04/7/2022 14H,70059
04/7/2022 13H,71648
04/7/2022 12H,70855
04/7/2022 11H,69867
04/7/2022 10H,69023
04/7/2022 09H,70182
04/7/2022 08H,71599
04/7/2022 07H,71000
04/7/2022 06H,72537
04/7/2022 05H,75181
04/7/2022 04H,73852
04/7/2022 03H,74157
04/7/2022 02H,73080
04/7/2022 01H,72162
04/7/2022 00H,72894
04/6/2022 23H,72648
04/6/2022 22H,73145
04/6/2022 21H,72020
04/6/2022 20H,71985
04/6/2022 19H,73590
04/6/2022 18H,74616
04/6/2022 17H,75441
04/6/2022 16H,74072
04/6/2022 15H,72690
04/6/2022 14H,71863
04/6/2022 13H,73317
04/6/2022 12H,73458
04/6/2022 11H,72604
04/6/2022 10H,73010
04/6/2022 09H,75804
04/6/2022 08H,78203
04/6/2022 07H,79865
04/6/2022 06H,79966
04/6/2022 05H,80149
04/6/2022 04H,75471
04/6/2022 03H,78884
04/6/2022 02H,77230
04/6/2022 01H,76250
04/6/2022 00H,73370
04/5/2022 23H,72938
04/5/2022 22H,72089
04/5/2022 21H,70186
04/5/2022 20H,69788
04/5/2022 19H,68670
04/5/2022 18H,67393
04/5/2022 17H,67011
04/5/2022 16H,67030
04/5/2022 15H,67325
04/5/2022 14H,68627
04/5/2022 13H,68610
04/5/2022 12H,66517
04/5/2022 11H,63194
04/5/2022 10H,60330
04/5/2022 09H,56864
04/5/2022 08H,55084
04/5/2022 07H,51678
04/5/2022 06H,53128
04/5/2022 05H,53352
04/5/2022 04H,55763
04/5/2022 03H,51411
04/5/2022 02H,48763
04/5/2022 01H,47153
04/5/2022 00H,45753
04/4/2022 23H,42720
04/4/2022 22H,41726
04/4/2022 21H,41677
04/4/2022 20H,42833
04/4/2022 19H,44742
04/4/2022 18H,47368
04/4/2022 17H,49059
04/4/2022 16H,49126
04/4/2022 15H,48192
04/4/2022 14H,51370
04/4/2022 13H,56015
04/4/2022 12H,58888
04/4/2022 11H,60615
04/4/2022 10H,60360
04/4/2022 09H,61887
04/4/2022 08H,64524
04/4/2022 07H,66190
04/4/2022 06H,67231
04/4/2022 05H,67476
04/4/2022 04H,66094
04/4/2022 03H,65329
04/4/2022 02H,61739
04/4/2022 01H,59915
04/4/2022 00H,61029
04/3/2022 23H,61564
04/3/2022 22H,61044
04/3/2022 21H,59707
04/3/2022 20H,58889
04/3/2022 19H,60066
04/3/2022 18H,60722
04/3/2022 17H,59800
04/3/2022 16H,57544
04/3/2022 15H,56537
04/3/2022 14H,59472
04/3/2022 13H,60562
04/3/2022 12H,60664
04/3/2022 11H,60422
04/3/2022 10H,60603
04/3/2022 09H,60416
04/3/2022 08H,61266
04/3/2022 07H,62763
04/3/2022 06H,62120
04/3/2022 05H,58296
04/3/2022 04H,52572
04/3/2022 03H,47765
04/3/2022 02H,44157
04/3/2022 01H,42754
04/3/2022 00H,45366
04/2/2022 23H,46257
04/2/2022 22H,44753
04/2/2022 21H,42861
04/2/2022 20H,41862
04/2/2022 19H,39686
04/2/2022 18H,36219
04/2/2022 17H,32804
04/2/2022 16H,31706
04/2/2022 15H,31380
04/2/2022 14H,36155
04/2/2022 13H,38692
04/2/2022 12H,38905
04/2/2022 11H,41177
04/2/2022 10H,42009
04/2/2022 09H,41317
04/2/2022 08H,41696
04/2/2022 07H,41896
04/2/2022 06H,45651
04/2/2022 05H,48591
04/2/2022 04H,53493
04/2/2022 03H,52094
04/2/2022 02H,51847
04/2/2022 01H,53056
04/2/2022 00H,55925
04/1/2022 23H,58368
04/1/2022 22H,58848
04/1/2022 21H,59075
04/1/2022 20H,58954
04/1/2022 19H,58748
04/1/2022 18H,57628
04/1/2022 17H,56719
04/1/2022 16H,54903
04/1/2022 15H,52081
04/1/2022 14H,55231
04/1/2022 13H,55709
04/1/2022 12H,54054
04/1/2022 11H,53572
04/1/2022 10H,53711
04/1/2022 09H,53765
04/1/2022 08H,53556
04/1/2022 07H,53107
04/1/2022 06H,50888
04/1/2022 05H,47314
04/1/2022 04H,43998
04/1/2022 03H,36120
