Net generation from other for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.OTH.H
17:14:21 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.OTH.H megawatthours
03/24/2022 14H,8354
03/24/2022 13H,7740
03/24/2022 12H,7733
03/24/2022 11H,7613
03/24/2022 10H,7562
03/24/2022 09H,7586
03/24/2022 08H,7537
03/24/2022 07H,7923
03/24/2022 06H,7947
03/24/2022 05H,8087
03/24/2022 04H,8836
03/24/2022 03H,8623
03/24/2022 02H,8481
03/24/2022 01H,8648
03/24/2022 00H,7983
03/23/2022 23H,7806
03/23/2022 22H,7750
03/23/2022 21H,7613
03/23/2022 20H,7424
03/23/2022 19H,7511
03/23/2022 18H,7504
03/23/2022 17H,7499
03/23/2022 16H,7441
03/23/2022 15H,7388
03/23/2022 14H,7630
03/23/2022 13H,7079
03/23/2022 12H,7230
03/23/2022 11H,7007
03/23/2022 10H,6974
03/23/2022 09H,6928
03/23/2022 08H,6964
03/23/2022 07H,7042
03/23/2022 06H,7238
03/23/2022 05H,7564
03/23/2022 04H,8237
03/23/2022 03H,8113
03/23/2022 02H,7887
03/23/2022 01H,7331
03/23/2022 00H,6587
03/22/2022 23H,6645
03/22/2022 22H,6364
03/22/2022 21H,6316
03/22/2022 20H,6186
03/22/2022 19H,5916
03/22/2022 18H,5817
03/22/2022 17H,5853
03/22/2022 16H,5907
03/22/2022 15H,6241
03/22/2022 14H,6558
03/22/2022 13H,6451
03/22/2022 12H,6132
03/22/2022 11H,7985
03/22/2022 10H,7737
03/22/2022 09H,7895
03/22/2022 08H,7899
03/22/2022 07H,7993
03/22/2022 06H,7987
03/22/2022 05H,8814
03/22/2022 04H,9476
03/22/2022 03H,9426
03/22/2022 02H,8711
03/22/2022 01H,8476
03/22/2022 00H,8245
03/21/2022 23H,8780
03/21/2022 22H,7882
03/21/2022 21H,7938
03/21/2022 20H,7898
03/21/2022 19H,8061
03/21/2022 18H,7920
03/21/2022 17H,8267
03/21/2022 16H,8366
03/21/2022 15H,8682
03/21/2022 14H,8654
03/21/2022 13H,8442
03/21/2022 12H,8251
03/21/2022 11H,8796
03/21/2022 10H,7990
03/21/2022 09H,8052
03/21/2022 08H,8144
03/21/2022 07H,8544
03/21/2022 06H,9071
03/21/2022 05H,10055
03/21/2022 04H,10180
03/21/2022 03H,10196
03/21/2022 02H,11600
03/21/2022 01H,10093
03/21/2022 00H,10015
03/20/2022 23H,10229
03/20/2022 22H,9339
03/20/2022 21H,9852
03/20/2022 20H,7166
03/20/2022 19H,7813
03/20/2022 18H,7869
03/20/2022 17H,7960
03/20/2022 16H,7665
03/20/2022 15H,8352
03/20/2022 14H,9621
03/20/2022 13H,9780
03/20/2022 12H,8179
03/20/2022 11H,7283
03/20/2022 10H,7060
03/20/2022 09H,7043
03/20/2022 08H,7293
03/20/2022 07H,7339
03/20/2022 06H,7776
03/20/2022 05H,8089
03/20/2022 04H,9309
03/20/2022 03H,9386
03/20/2022 02H,8272
03/20/2022 01H,9017
03/20/2022 00H,8599
03/19/2022 23H,8070
03/19/2022 22H,7982
03/19/2022 21H,7358
03/19/2022 20H,7418
03/19/2022 19H,8137
03/19/2022 18H,7289
03/19/2022 17H,7041
03/19/2022 16H,6902
03/19/2022 15H,7357
03/19/2022 14H,7040
03/19/2022 13H,7867
03/19/2022 12H,7526
03/19/2022 11H,6730
03/19/2022 10H,7135
03/19/2022 09H,7204
03/19/2022 08H,7240
03/19/2022 07H,7493
03/19/2022 06H,7474
03/19/2022 05H,6905
03/19/2022 04H,7823
03/19/2022 03H,8686
03/19/2022 02H,8460
03/19/2022 01H,8331
03/19/2022 00H,7401
03/18/2022 23H,7435
03/18/2022 22H,6975
03/18/2022 21H,6965
03/18/2022 20H,6333
03/18/2022 19H,6318
03/18/2022 18H,6341
03/18/2022 17H,6242
03/18/2022 16H,6490
03/18/2022 15H,6463
03/18/2022 14H,6846
03/18/2022 13H,6595
03/18/2022 12H,6002
03/18/2022 11H,5792
03/18/2022 10H,5696
