Net generation from coal for United States Lower 48 (region) hourly - UTC time
https://www.eia.gov/opendata/qb.php?category=3390105&sdid=EBA.US48-ALL.NG.COL.H
16:49:57 GMT+0200 (czas środkowoeuropejski letni)
Source: U.S. Energy Information Administration
Category,Series ID: EBA.US48-ALL.NG.COL.H megawatthours
04/12/2022 06H,72735
04/12/2022 05H,76109
04/12/2022 04H,79705
04/12/2022 03H,84453
04/12/2022 02H,88549
04/12/2022 01H,89360
04/12/2022 00H,87923
04/11/2022 23H,86193
04/11/2022 22H,85310
04/11/2022 21H,84675
04/11/2022 20H,84248
04/11/2022 19H,83730
04/11/2022 18H,84351
04/11/2022 17H,85160
04/11/2022 16H,85782
04/11/2022 15H,86314
04/11/2022 14H,86160
04/11/2022 13H,84486
04/11/2022 12H,82034
04/11/2022 11H,78307
04/11/2022 10H,71119
04/11/2022 09H,67807
04/11/2022 08H,66702
04/11/2022 07H,67481
04/11/2022 06H,68947
04/11/2022 05H,71873
04/11/2022 04H,79201
04/11/2022 03H,80236
04/11/2022 02H,81907
04/11/2022 01H,81409
04/11/2022 00H,78227
04/10/2022 23H,74943
04/10/2022 22H,70846
04/10/2022 21H,68839
04/10/2022 20H,66723
04/10/2022 19H,64989
04/10/2022 18H,64295
04/10/2022 17H,64903
04/10/2022 16H,66518
04/10/2022 15H,67653
04/10/2022 14H,70648
04/10/2022 13H,71548
04/10/2022 12H,71137
04/10/2022 11H,69975
04/10/2022 10H,68260
04/10/2022 09H,67607
04/10/2022 08H,66722
04/10/2022 07H,66912
04/10/2022 06H,68903
04/10/2022 05H,71945
04/10/2022 04H,77030
04/10/2022 03H,79235
04/10/2022 02H,80655
04/10/2022 01H,78804
04/10/2022 00H,76603
04/9/2022 23H,75024
04/9/2022 22H,73821
04/9/2022 21H,74135
04/9/2022 20H,73465
04/9/2022 19H,73543
04/9/2022 18H,74557
04/9/2022 17H,75275
04/9/2022 16H,76477
04/9/2022 15H,79513
04/9/2022 14H,80697
04/9/2022 13H,80640
04/9/2022 12H,78391
04/9/2022 11H,77243
04/9/2022 10H,78311
04/9/2022 09H,78621
04/9/2022 08H,79297
04/9/2022 07H,78933
04/9/2022 06H,78894
04/9/2022 05H,80836
04/9/2022 04H,84302
04/9/2022 03H,83671
04/9/2022 02H,83723
04/9/2022 01H,80601
04/9/2022 00H,77222
04/8/2022 23H,74873
04/8/2022 22H,74908
04/8/2022 21H,75740
04/8/2022 20H,77198
04/8/2022 19H,76820
04/8/2022 18H,77364
04/8/2022 17H,78863
04/8/2022 16H,79093
04/8/2022 15H,81723
04/8/2022 14H,82481
04/8/2022 13H,82336
04/8/2022 12H,80726
04/8/2022 11H,78773
04/8/2022 10H,75691
04/8/2022 09H,74542
04/8/2022 08H,73274
04/8/2022 07H,73820
04/8/2022 06H,74782
04/8/2022 05H,77318
04/8/2022 04H,77804
04/8/2022 03H,81327
04/8/2022 02H,81340
04/8/2022 01H,80256
04/8/2022 00H,76780
04/7/2022 23H,74292
04/7/2022 22H,73578
04/7/2022 21H,73659
04/7/2022 20H,74104
04/7/2022 19H,73596
04/7/2022 18H,73548
04/7/2022 17H,72563
04/7/2022 16H,73232
04/7/2022 15H,76070
04/7/2022 14H,77588
04/7/2022 13H,78212
04/7/2022 12H,76677
04/7/2022 11H,73227
04/7/2022 10H,67566
04/7/2022 09H,64933
04/7/2022 08H,64487
04/7/2022 07H,65822
04/7/2022 06H,67701
04/7/2022 05H,70779
04/7/2022 04H,74826
04/7/2022 03H,77948
04/7/2022 02H,80172
04/7/2022 01H,79911
04/7/2022 00H,77336
04/6/2022 23H,76076
04/6/2022 22H,75231
04/6/2022 21H,74255
